symbol,type,name,open,high,low,close,volume,financial_volume,trades,bid,ask,category,contract_size,created_at,updated_at,variation,ewma_1y_max,ewma_1y_min,ewma_1y_percentile,ewma_1y_rank,ewma_6m_max,ewma_6m_min,ewma_6m_percentile,ewma_6m_rank,ewma_current,has_options,iv_1y_max,iv_1y_min,iv_1y_percentile,iv_1y_rank,iv_6m_max,iv_6m_min,iv_6m_percentile,iv_6m_rank,iv_current,middle_term_trend,semi_return_1y,short_term_trend,stdv_1y,stdv_5d,beta_ibov,garch11_1y,isin,correl_ibov,entropy,security_category,sector,quotation_form,market_maker,highest_options_volume_rank,long_name,bid_volume,ask_volume,time,previous_close
HAPV3,STOCK,HAPVIDA ON,2.32,2.35,2.28,2.33,56178500,130059000,0,2.33,2.34,VISTA,100,2025-02-13T10:18:52.631Z,2025-02-13T10:18:52.631Z,0,77.09,27.53,88.49,47.42,77.09,27.53,76.98,47.42,51.03,True,79.28,33.32,87.3,40.84,79.28,34.92,80.16,38.71,52.09,-1,0.86,1,0.02869832097983763,0.048220172124476005,1.81631686419815,59.65,BRHAPVACNOR4,0.5340114992435807,0.36800144356600867,11,SERVIÇOS MÉDICOS,100,False,49,HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,209700,105400,2025-02-13 14:55:28,2.33
BBDC4,STOCK,BRADESCO PN,11.76,12.02,11.72,11.97,27196200,324043000,0,11.97,11.98,VISTA,100,2025-02-13T10:18:52.612Z,2025-02-13T10:18:52.612Z,2.133,32.44,12.79,96.83,63.46,31.51,18.72,97.62,51.13,25.26,True,46.59,16.56,58.73,51.38,46.59,16.56,34.92,51.38,31.99,0,0.84,-1,0.014346696437770253,0.028359400489840533,1.1186979220407427,22.82,BRBBDCACNPR8,0.6579250236014096,0.36764965711134673,11,BANCOS,100,False,6,BCO BRADESCO S.A.,11300,24300,2025-02-13 14:55:27,11.97
CRFB3,STOCK,CARREFOUR BRON,7.3,7.4,7.26,7.35,30279900,221442000,0,7.35,7.36,VISTA,100,2025-02-13T10:18:52.558Z,2025-02-13T10:18:52.558Z,0.823,82.5,27.79,89.68,45.22,82.5,38.87,79.37,31.31,52.53,True,81.41,24.76,21.83,27.38,81.41,33.36,2.38,14.38,40.27,1,0.83,1,0.02994631970813077,0.03681829018643992,1.9287800149644223,60.94,BRCRFBACNOR2,0.543443906045904,0.2881196134782319,11,EMP. ADM. PART. - COMÉRCIO (ATACADO E VAREJO),100,False,107,ATACADÃO S.A.,9200,200,2025-02-13 14:55:28,7.35
COGN3,STOCK,COGNA ON ON,1.63,1.65,1.54,1.59,40710600,64123300,0,1.59,1.6,VISTA,100,2025-02-13T10:18:52.615Z,2025-02-13T10:18:52.615Z,-1.852,79.54,36.14,49.21,45.9,79.54,47.36,20.63,27.04,56.06,True,68.89,36.89,79.76,65.06,68.89,46.84,64.29,49.3,57.71,1,0.85,1,0.036265060652982836,0.03137799543249751,2.559448146571643,55.81,BRCOGNACNOR2,0.5954885422482662,0.3432861265763456,11,EMP. ADM. PART. - EDUCAÇÃO,100,False,28,COGNA EDUCAÇÃO S.A.,48900,6400,2025-02-13 14:55:28,1.59
ITSA4,STOCK,ITAUSA PN,9.45,9.5,9.41,9.46,9700100,91754500,0,9.46,9.47,VISTA,100,2025-02-13T10:18:52.514Z,2025-02-13T10:18:52.514Z,0.106,29.23,13.28,81.35,43.07,29.23,13.41,62.7,42.6,20.15,True,25.14,11.55,58.73,47.53,25.14,11.55,35.71,47.53,18.01,0,0.84,-1,0.011941201080179866,0.014232585095957574,1.0762843015396177,18.94,BRITSAACNPR7,0.7604916968070675,0.7218811998757491,11,EMP. ADM. PART. - INTERMEDIAÇÃO FINANCEIRA,100,False,51,ITAÚSA S.A.,2500,16200,2025-02-13 14:55:24,9.46
B3SA3,STOCK,B3 ON,10.99,11.16,10.98,11.15,10716700,118638000,0,11.15,11.16,VISTA,100,2025-02-13T10:18:52.558Z,2025-02-13T10:18:52.558Z,0.996,39.26,20.98,66.27,39.22,39.26,23.82,59.52,28.04,28.15,True,39.63,19.72,78.97,50.68,39.63,22.63,71.43,42.24,29.81,0,0.81,1,0.01809072959471165,0.016407584615940843,1.5188652040983026,28.94,BRB3SAACNOR6,0.7084001315838194,0.6169720242075584,11,BOLSAS DE VALORES/MERCADORIAS E FUTUROS,100,False,9,"B3 S.A. - BRASIL, BOLSA, BALCÃO",400,400,2025-02-13 14:55:24,11.15
ABEV3,STOCK,AMBEV S/A ON,10.87,10.97,10.84,10.95,9133600,99681100,0,10.95,10.96,VISTA,100,2025-02-13T10:18:52.606Z,2025-02-13T10:18:52.606Z,0.275,35.98,12.19,71.83,39.05,35.98,15.05,49.21,30.72,21.48,True,42.37,15.31,88.49,37.84,42.37,16.16,81.75,35.83,25.55,0,0.82,0,0.013309796334445016,0.005152102664884589,0.7458677668653482,14.04,BRABEVACNOR1,0.4728309667960982,0.6553296950599888,11,BEBIDAS E FUMO,100,False,18,AMBEV S.A.,400,2600,2025-02-13 14:55:27,10.95
PETR4,STOCK,PETROBRAS PN,36.2,36.27,36.02,36.13,8132200,293785000,0,36.12,36.13,VISTA,100,2025-02-13T10:18:52.684Z,2025-02-13T10:18:52.684Z,-0.413,33.2,13.78,0,31.1,26.26,13.78,0,48.4,19.82,True,42.46,15.37,19.84,17.35,28.49,15.37,39.68,35.82,20.07,0,0.97,-1,0.015715605357711326,0.0071951179534037535,0.7107166728016322,24.41,BRPETRACNPR6,0.3815758424410887,0.8753420829303249,11,PETRÓLEO E GÁS,100,False,4,PETROLEO BRASILEIRO S.A. PETROBRAS,1000,600,2025-02-13 14:55:28,36.13
VALE3,STOCK,VALE ON,54.85,55,54.13,54.57,10926300,595379000,0,54.56,54.58,VISTA,100,2025-02-13T10:18:52.563Z,2025-02-13T10:18:52.563Z,-0.402,34.32,14.32,63.49,45.2,34.32,18.96,34.92,28.65,23.36,True,42.61,18.06,74.21,24.36,42.61,20.94,59.52,14.31,24.04,-1,1.07,0,0.014402453397954816,0.009054988418051569,0.8707840554178061,21.99,BRVALEACNOR0,0.5101401107082503,0.803088293977813,11,EXTRAÇÃO MINERAL,100,False,3,VALE S.A.,1800,400,2025-02-13 14:55:28,54.57
CSAN3,STOCK,COSAN ON,7.25,7.32,7.19,7.25,8246900,59804300,0,7.25,7.26,VISTA,100,2025-02-13T10:18:52.594Z,2025-02-13T10:18:52.594Z,-0.821,57.43,22.18,92.06,48.26,57.43,25.92,84.13,42.11,39.19,True,47.27,23.16,98.81,72.46,47.27,26.9,97.62,67.4,40.63,-1,0.82,-1,0.02158367666829072,0.03687771102810262,1.8964373432393753,49.42,BRCSANACNOR6,0.7413589835051142,0.22149558237941622,11,"AGRICULTURA (AÇÚCAR, ÁLCOOL E CANA)",100,False,14,COSAN S.A.,300,4700,2025-02-13 14:55:28,7.25
